Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Structural Adherence,Adaptive Fluidity,Interpersonal Influence,Execution Velocity,Psychological Resilience,Job Hopping
1,Ashley Ali,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895,8,98,3,4,2,1,2,Low
2,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002,1,100,3,4,3,2,3,Low
3,Corey Sanchez,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766,7,70,4,3,2,3,3,Low
4,Elizabeth Carney,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848,0,95,5,2,3,5,3,Low
5,Julie Hill,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441,9,98,3,4,1,4,2,Low
6,Samantha Santos,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957,5,100,3,3,3,2,4,Medium
7,Tony Smith,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208,9,94,5,4,3,3,1,Medium
8,Anthony Harrison,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7,86,4,4,2,1,2,Medium
9,Nancy Jenkins,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3,100,3,4,4,4,3,Low
10,Courtney Gibson,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579,1,37,4,2,4,3,4,Low
11,Laura French,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945,7,70,3,4,1,3,3,Low
12,Ralph Barrera,"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,Reject,62708,5,42,3,3,2,4,2,High
13,David Diaz,"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077,9,63,3,5,2,2,2,Low
14,Caitlin Myers,"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410,10,98,1,2,2,2,3,Medium
15,Tammy Pineda,"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555,5,45,1,5,4,2,3,Low
16,Courtney Cook,"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,Reject,51388,6,58,2,3,3,4,2,Low
17,Megan Brown,"SQL, Python",10,PhD,,Data Scientist,Hire,115364,2,100,2,2,3,1,3,Low
18,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,,Cybersecurity Analyst,Hire,66379,6,82,3,3,1,1,4,Low
19,Jonathon Pineda,"SQL, Python, Deep Learning",3,MBA,,Data Scientist,Hire,112439,10,87,2,3,4,3,2,High
20,Jennifer Collins,"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9,94,2,3,2,4,3,High
21,Nichole Welch,"SQL, Java, C++, React",5,B.Sc,,Software Engineer,Hire,57546,4,94,4,4,3,4,5,Low
22,Amber Davis,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,Hire,106352,10,98,3,2,3,3,2,Low
23,William Clark,"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,107045,8,90,3,3,4,3,1,High
24,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,94384,0,100,2,5,2,4,4,Medium
25,Lori Johnson,"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,91064,10,78,2,5,1,1,2,Low
26,Roy Huang,"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447,10,100,3,3,3,3,3,Low
27,Christopher Ayers,"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203,2,58,2,3,5,3,2,Low
28,Shaun Gomez,"Pytorch, NLP",1,M.Tech,,AI Researcher,Reject,41731,5,45,3,3,4,3,3,Low
29,Claudia Harris,"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,Hire,119307,2,100,2,4,3,2,5,Low
30,Steven Thomas,"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100,3,2,3,3,4,Low
31,Abigail Watts,"Python, SQL",4,PhD,,Data Scientist,Hire,84679,10,100,2,3,4,1,4,Low
32,Logan Mcclure,"Ethical Hacking, Networking, Linux",1,B.Sc,,Cybersecurity Analyst,Hire,58606,10,73,5,1,2,2,2,Low
33,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4,98,3,3,3,3,2,Low
34,Maria Glover,"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4,94,2,4,4,2,1,Medium
35,Sandra Juarez,"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,47001,10,71,4,3,4,3,2,Medium
36,Bradley Cruz,"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,Hire,92104,6,100,2,5,5,3,4,Low
37,Darrell Wilkinson,"Python, NLP",7,M.Tech,Google ML,AI Researcher,Hire,80936,3,96,3,2,3,3,4,High
38,Jason Flores,"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,Hire,97505,7,94,1,2,2,3,3,High
39,Denise Harper,"Linux, Cybersecurity",7,PhD,,Cybersecurity Analyst,Hire,106469,0,80,2,3,3,2,3,Low
40,Kim Blake,"SQL, Python",1,MBA,AWS Certified,Data Scientist,Hire,52364,8,68,3,4,1,3,2,Low
41,Lindsey Jackson,"C++, React",10,MBA,AWS Certified,Software Engineer,Hire,101108,9,98,4,5,2,4,3,Medium
42,Frances Salazar,"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,51200,10,80,3,3,3,3,4,Medium
43,Justin Ross,"NLP, TensorFlow, Python",3,M.Tech,,AI Researcher,Hire,66403,10,85,3,4,2,2,1,High
44,Denise Ramirez,"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,50397,8,68,3,3,3,3,3,Medium
45,Tanya West,"SQL, Python, Machine Learning",4,M.Tech,AWS Certified,Data Scientist,Hire,95486,6,95,2,3,2,4,4,Medium
46,Ryan Peters,"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,72756,4,90,2,4,4,1,3,Low
47,Terry Burns,"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,Hire,50602,9,100,3,4,3,4,4,Low
48,Christopher Stevenson,"Python, Machine Learning",8,PhD,Google ML,Data Scientist,Hire,103477,9,100,4,1,3,3,5,Low
49,David Nash,"React, SQL, Java",1,MBA,Deep Learning Specialization,Software Engineer,Hire,46437,9,80,3,4,3,3,3,Low
50,Christopher Nicholson,"Pytorch, Python",5,B.Tech,Deep Learning Specialization,AI Researcher,Hire,89338,1,73,1,4,3,4,3,Medium
51,Kenneth Skinner,"Python, NLP, TensorFlow, Pytorch",5,PhD,,AI Researcher,Hire,45488,9,98,3,2,4,2,2,Low
52,Dalton Smith,"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,,Cybersecurity Analyst,Hire,55058,3,98,3,3,2,2,3,Medium
53,James Bailey,"SQL, Deep Learning, Machine Learning",1,MBA,,Data Scientist,Reject,54006,4,45,2,3,2,3,3,Low
54,William Hill,"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,82004,2,100,4,3,3,2,3,Low
55,James Jones,"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,112663,7,58,4,2,2,5,2,Low
56,Danielle Drake,"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,Reject,56827,4,55,4,2,2,2,3,Low
57,Rachel Wheeler,"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,Hire,49367,3,75,2,3,3,2,4,Medium
58,April Flores,"Networking, Cybersecurity, Ethical Hacking, Linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,86274,3,53,3,4,4,3,3,Medium
59,Ruth Oconnell,"TensorFlow, Pytorch",2,B.Sc,,AI Researcher,Reject,62312,1,31,3,4,3,2,4,High
60,Sarah Kane,"Java, React",6,PhD,Google ML,Software Engineer,Hire,80278,4,100,4,3,3,3,3,Low
61,Rebecca Wagner,"Python, Pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,71804,10,72,3,4,4,3,4,Low
62,Laura Howell,"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,,Data Scientist,Hire,72780,9,100,3,1,3,3,3,Low
63,Kevin Miller,"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,Hire,84443,3,98,2,4,3,3,2,Low
64,Joanna Foster,"C++, React, Java, SQL",9,M.Tech,,Software Engineer,Hire,99057,8,98,2,1,3,2,3,Medium
65,Steven Bell II,"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,Hire,63516,2,96,4,3,3,1,2,Medium
66,Cynthia Simmons,"Java, React, C++",1,PhD,,Software Engineer,Reject,62647,3,36,4,2,2,3,2,Medium
67,Brittney Mccormick,"Java, C++, React, SQL",8,B.Sc,,Software Engineer,Hire,89042,1,100,3,2,1,5,3,Low
68,David Mitchell,"Pytorch, Python, TensorFlow, NLP",9,M.Tech,Google ML,AI Researcher,Hire,47919,4,98,4,4,3,3,3,Medium
69,Christopher Reed,"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,Hire,81596,3,98,3,3,4,3,2,Low
70,Jonathan Fowler,"SQL, Python, Machine Learning, Deep Learning",1,B.Tech,AWS Certified,Data Scientist,Reject,43647,1,45,2,3,4,4,4,Medium
71,Taylor Wright,"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,Hire,50670,0,100,3,3,4,2,4,Low
72,Curtis Townsend,"Ethical Hacking, Networking, Linux",0,MBA,Google ML,Cybersecurity Analyst,Reject,60440,7,58,5,3,4,5,2,Low
73,Scott Kidd,"Python, SQL, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,69800,6,56,3,3,3,3,1,Low
74,Donald Duffy,"Java, SQL",5,MBA,AWS Certified,Software Engineer,Hire,40914,6,94,5,2,3,5,3,High
75,Michael Chapman,"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,111697,4,100,1,4,2,2,3,Low
76,Carolyn James,"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,88155,8,100,4,3,3,5,3,Low
77,Timothy Kirby,"Python, Machine Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,61332,0,18,3,1,4,4,3,Medium
78,Michael Vasquez,"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,,Cybersecurity Analyst,Hire,62406,1,91,3,3,4,4,1,Low
79,Brooke Charles,"TensorFlow, Python",1,MBA,,AI Researcher,Reject,75420,6,50,3,5,3,3,3,Low
80,Wesley Rodriguez,"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,82300,4,100,1,4,3,3,3,Low
81,Jamie Rose,"NLP, TensorFlow, Pytorch",7,MBA,,AI Researcher,Hire,88358,4,100,3,3,3,4,4,Low
82,Melissa Clark,"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,107085,10,72,3,3,4,3,2,High
83,Ryan Moore,"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,51284,4,100,4,3,2,1,5,Medium
84,Shawn Richardson,"Python, NLP, TensorFlow",10,B.Tech,,AI Researcher,Hire,62710,2,96,2,5,1,2,1,Low
85,Lisa Navarro,"Java, SQL, C++",0,B.Sc,AWS Certified,Software Engineer,Reject,52290,2,31,2,3,2,3,4,High
86,Renee Patterson MD,"Java, React, C++",8,M.Tech,,Software Engineer,Hire,87272,2,100,2,3,2,3,3,Low
87,Heather Bauer,"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,72143,10,100,4,4,2,3,4,Low
88,Derek Smith,"Python, Pytorch",7,B.Sc,,AI Researcher,Hire,98548,7,100,3,3,3,4,3,Low
89,Jose Mclaughlin,"React, SQL, Java",5,PhD,Google ML,Software Engineer,Hire,102333,10,100,2,3,3,1,4,Low
90,Christina Johnson,"Linux, Ethical Hacking, Cybersecurity, Networking",10,M.Tech,,Cybersecurity Analyst,Hire,60343,8,100,4,3,4,3,3,Low
91,David Santos,"NLP, TensorFlow",4,MBA,Google ML,AI Researcher,Hire,49331,7,87,3,3,3,1,2,High
92,Melissa Salinas,"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,Hire,67536,6,95,4,3,3,4,4,Medium
93,Cody Pace,"TensorFlow, NLP, Pytorch",5,B.Sc,AWS Certified,AI Researcher,Hire,88653,0,75,2,4,4,3,3,Low
94,Juan Jimenez,"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,87556,10,70,3,3,2,3,3,Low
95,Madison Dunn,"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,Hire,113365,8,100,3,4,4,2,4,Medium
96,Stephen Watkins,"TensorFlow, Pytorch, Python, NLP",1,B.Sc,AWS Certified,AI Researcher,Reject,97235,4,52,2,3,3,4,2,High
97,Dawn Tucker,"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,Hire,89633,2,80,3,3,4,4,4,Medium
98,Michelle Benton,"TensorFlow, Pytorch, NLP, Python",6,B.Tech,AWS Certified,AI Researcher,Hire,109750,9,98,3,1,2,4,2,Low
99,Shannon Patel,"Python, Deep Learning",6,PhD,Google ML,Data Scientist,Hire,63260,8,98,3,4,1,3,3,Medium
100,Sandra Perkins,"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,Hire,67745,3,100,3,3,4,4,3,Low
101,Sheryl Freeman,"Linux, Cybersecurity",1,M.Tech,Google ML,Cybersecurity Analyst,Reject,85755,3,41,2,4,3,2,1,Low
102,Elaine Ryan,"Ethical Hacking, Cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,58775,3,98,3,1,2,4,2,Low
103,Jonathan Hernandez,"Ethical Hacking, Networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49346,3,57,3,5,2,5,4,Low
104,Emily Williamson,"Ethical Hacking, Networking, Linux",8,PhD,,Cybersecurity Analyst,Hire,97521,7,100,2,3,4,4,4,Low
105,Miguel Dunn,"Java, SQL",5,B.Tech,Google ML,Software Engineer,Hire,81801,1,75,3,4,2,2,3,Low
106,Natasha Orr,"Deep Learning, Machine Learning, SQL",7,B.Tech,AWS Certified,Data Scientist,Hire,118152,6,100,3,2,5,3,3,Low
107,David Richardson,"NLP, Python, TensorFlow",9,B.Tech,AWS Certified,AI Researcher,Hire,105695,0,98,5,4,2,2,3,Medium
108,Michael Lewis,"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Reject,98024,2,57,3,2,4,4,4,Low
109,Michael Jones,"Python, Machine Learning, SQL",4,B.Tech,,Data Scientist,Hire,85884,6,85,3,2,3,3,3,Low
110,Nicole Hunt,"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,,Cybersecurity Analyst,Hire,107237,3,100,3,5,4,1,3,Low
